sample_id,band_id,observation_time,start_frequency_mhz,end_frequency_mhz,bandwidth_mhz,hour_of_day,day_of_week,region,state,district,signal_power_dbm,noise_floor_dbm,snr_db,occupancy_ratio,interference_score,target_available,target_occupancy_ratio,label_source,data_type,created_at
12,B001,"2026-01-08 01:00:00",470.000,585.000,11.500,1,4,Bengaluru,Karnataka,NULL,-79.825,-101.125,21.300,0.35469,0.38883,0,0.35469,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
13,B001,"2026-01-09 01:00:00",470.000,585.000,11.500,1,5,Bengaluru,Karnataka,NULL,-89.968,-103.793,13.826,0.22611,0.30692,1,0.22611,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
14,B001,"2026-01-10 01:00:00",470.000,585.000,11.500,1,6,Bengaluru,Karnataka,NULL,-82.539,-96.161,13.622,0.25249,0.19621,0,0.25249,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
15,B001,"2026-01-04 02:00:00",470.000,585.000,11.500,2,0,Bengaluru,Karnataka,NULL,-77.287,-98.445,21.158,0.36379,0.42333,0,0.36379,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
16,B001,"2026-01-05 02:00:00",470.000,585.000,11.500,2,1,Bengaluru,Karnataka,NULL,-85.389,-102.235,16.846,0.40984,0.34383,0,0.40984,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
17,B001,"2026-01-06 02:00:00",470.000,585.000,11.500,2,2,Bengaluru,Karnataka,NULL,-85.454,-105.609,20.155,0.37670,0.38512,0,0.37670,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
18,B001,"2026-01-07 02:00:00",470.000,585.000,11.500,2,3,Bengaluru,Karnataka,NULL,-81.236,-100.191,18.955,0.28791,0.49285,0,0.28791,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
19,B001,"2026-01-08 02:00:00",470.000,585.000,11.500,2,4,Bengaluru,Karnataka,NULL,-85.900,-103.524,17.623,0.35340,0.28318,0,0.35340,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
20,B001,"2026-01-09 02:00:00",470.000,585.000,11.500,2,5,Bengaluru,Karnataka,NULL,-84.855,-103.417,18.562,0.33666,0.39877,0,0.33666,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
21,B001,"2026-01-10 02:00:00",470.000,585.000,11.500,2,6,Bengaluru,Karnataka,NULL,-93.239,-102.734,9.496,0.21936,0.17598,1,0.21936,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
22,B001,"2026-01-04 03:00:00",470.000,585.000,11.500,3,0,Bengaluru,Karnataka,NULL,-80.732,-100.961,20.229,0.27026,0.29419,0,0.27026,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
23,B001,"2026-01-05 03:00:00",470.000,585.000,11.500,3,1,Bengaluru,Karnataka,NULL,-79.820,-101.580,21.760,0.32830,0.40486,0,0.32830,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
24,B001,"2026-01-06 03:00:00",470.000,585.000,11.500,3,2,Bengaluru,Karnataka,NULL,-83.284,-104.527,21.243,0.32916,0.36444,0,0.32916,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
25,B001,"2026-01-07 03:00:00",470.000,585.000,11.500,3,3,Bengaluru,Karnataka,NULL,-75.547,-102.075,26.528,0.39589,0.34862,0,0.39589,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
26,B001,"2026-01-08 03:00:00",470.000,585.000,11.500,3,4,Bengaluru,Karnataka,NULL,-81.773,-101.712,19.940,0.42151,0.30371,0,0.42151,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
27,B001,"2026-01-09 03:00:00",470.000,585.000,11.500,3,5,Bengaluru,Karnataka,NULL,-79.691,-98.442,18.751,0.25943,0.34374,0,0.25943,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
28,B001,"2026-01-10 03:00:00",470.000,585.000,11.500,3,6,Bengaluru,Karnataka,NULL,-87.237,-100.223,12.986,0.10369,0.14340,1,0.10369,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
29,B001,"2026-01-04 04:00:00",470.000,585.000,11.500,4,0,Bengaluru,Karnataka,NULL,-80.316,-102.006,21.689,0.26608,0.20855,0,0.26608,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
30,B001,"2026-01-05 04:00:00",470.000,585.000,11.500,4,1,Bengaluru,Karnataka,NULL,-82.972,-98.596,15.623,0.28005,0.27289,0,0.28005,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
31,B001,"2026-01-06 04:00:00",470.000,585.000,11.500,4,2,Bengaluru,Karnataka,NULL,-86.304,-105.103,18.799,0.31684,0.22918,0,0.31684,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
32,B001,"2026-01-07 04:00:00",470.000,585.000,11.500,4,3,Bengaluru,Karnataka,NULL,-75.239,-101.992,26.753,0.37196,0.38424,0,0.37196,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
33,B001,"2026-01-08 04:00:00",470.000,585.000,11.500,4,4,Bengaluru,Karnataka,NULL,-84.645,-105.258,20.613,0.40560,0.40949,0,0.40560,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
34,B001,"2026-01-09 04:00:00",470.000,585.000,11.500,4,5,Bengaluru,Karnataka,NULL,-82.680,-106.202,23.522,0.39220,0.42224,0,0.39220,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
35,B001,"2026-01-10 04:00:00",470.000,585.000,11.500,4,6,Bengaluru,Karnataka,NULL,-79.988,-100.219,20.231,0.37735,0.32354,0,0.37735,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
36,B001,"2026-01-04 05:00:00",470.000,585.000,11.500,5,0,Bengaluru,Karnataka,NULL,-86.962,-101.511,14.549,0.22263,0.42633,1,0.22263,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
37,B001,"2026-01-05 05:00:00",470.000,585.000,11.500,5,1,Bengaluru,Karnataka,NULL,-89.355,-101.199,11.844,0.26723,0.26206,0,0.26723,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
38,B001,"2026-01-06 05:00:00",470.000,585.000,11.500,5,2,Bengaluru,Karnataka,NULL,-77.091,-99.940,22.849,0.32828,0.32985,0,0.32828,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
39,B001,"2026-01-07 05:00:00",470.000,585.000,11.500,5,3,Bengaluru,Karnataka,NULL,-83.887,-100.855,16.968,0.23179,0.31000,1,0.23179,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
40,B001,"2026-01-08 05:00:00",470.000,585.000,11.500,5,4,Bengaluru,Karnataka,NULL,-82.551,-99.167,16.615,0.26098,0.34562,0,0.26098,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
41,B001,"2026-01-09 05:00:00",470.000,585.000,11.500,5,5,Bengaluru,Karnataka,NULL,-80.123,-100.477,20.353,0.35919,0.52569,0,0.35919,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
42,B001,"2026-01-10 05:00:00",470.000,585.000,11.500,5,6,Bengaluru,Karnataka,NULL,-85.218,-102.740,17.522,0.28706,0.42521,0,0.28706,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
43,B001,"2026-01-04 06:00:00",470.000,585.000,11.500,6,0,Bengaluru,Karnataka,NULL,-78.928,-100.702,21.773,0.31831,0.28587,0,0.31831,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
44,B001,"2026-01-05 06:00:00",470.000,585.000,11.500,6,1,Bengaluru,Karnataka,NULL,-86.510,-101.251,14.742,0.18914,0.19430,1,0.18914,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
45,B001,"2026-01-06 06:00:00",470.000,585.000,11.500,6,2,Bengaluru,Karnataka,NULL,-83.595,-100.481,16.886,0.37098,0.40259,0,0.37098,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
46,B001,"2026-01-07 06:00:00",470.000,585.000,11.500,6,3,Bengaluru,Karnataka,NULL,-86.868,-105.708,18.840,0.29627,0.30896,0,0.29627,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
47,B001,"2026-01-08 06:00:00",470.000,585.000,11.500,6,4,Bengaluru,Karnataka,NULL,-82.978,-100.693,17.715,0.25783,0.24139,0,0.25783,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
48,B001,"2026-01-09 06:00:00",470.000,585.000,11.500,6,5,Bengaluru,Karnataka,NULL,-84.064,-99.462,15.399,0.29802,0.34419,0,0.29802,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
49,B001,"2026-01-10 06:00:00",470.000,585.000,11.500,6,6,Bengaluru,Karnataka,NULL,-85.276,-96.335,11.059,0.27019,0.35125,0,0.27019,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
50,B001,"2026-01-04 07:00:00",470.000,585.000,11.500,7,0,Bengaluru,Karnataka,NULL,-79.312,-102.250,22.939,0.28856,0.30688,0,0.28856,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
51,B001,"2026-01-05 07:00:00",470.000,585.000,11.500,7,1,Bengaluru,Karnataka,NULL,-79.114,-103.105,23.991,0.46687,0.38420,0,0.46687,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
52,B001,"2026-01-06 07:00:00",470.000,585.000,11.500,7,2,Bengaluru,Karnataka,NULL,-86.319,-101.844,15.525,0.26165,0.30627,0,0.26165,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
53,B001,"2026-01-07 07:00:00",470.000,585.000,11.500,7,3,Bengaluru,Karnataka,NULL,-84.290,-96.994,12.704,0.16265,0.36515,1,0.16265,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
54,B001,"2026-01-08 07:00:00",470.000,585.000,11.500,7,4,Bengaluru,Karnataka,NULL,-76.110,-101.269,25.159,0.23950,0.20610,1,0.23950,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
55,B001,"2026-01-09 07:00:00",470.000,585.000,11.500,7,5,Bengaluru,Karnataka,NULL,-88.658,-103.366,14.708,0.16533,0.28293,1,0.16533,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
56,B001,"2026-01-10 07:00:00",470.000,585.000,11.500,7,6,Bengaluru,Karnataka,NULL,-87.919,-102.643,14.724,0.36033,0.31941,0,0.36033,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
57,B001,"2026-01-04 08:00:00",470.000,585.000,11.500,8,0,Bengaluru,Karnataka,NULL,-86.009,-100.836,14.827,0.39682,0.37513,0,0.39682,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
58,B001,"2026-01-05 08:00:00",470.000,585.000,11.500,8,1,Bengaluru,Karnataka,NULL,-73.947,-96.684,22.737,0.40787,0.40986,0,0.40787,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
59,B001,"2026-01-06 08:00:00",470.000,585.000,11.500,8,2,Bengaluru,Karnataka,NULL,-88.825,-104.108,15.283,0.22319,0.30533,1,0.22319,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
60,B001,"2026-01-07 08:00:00",470.000,585.000,11.500,8,3,Bengaluru,Karnataka,NULL,-87.432,-103.196,15.764,0.35061,0.28568,0,0.35061,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
61,B001,"2026-01-08 08:00:00",470.000,585.000,11.500,8,4,Bengaluru,Karnataka,NULL,-92.000,-100.391,8.392,0.22901,0.24220,1,0.22901,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
62,B001,"2026-01-09 08:00:00",470.000,585.000,11.500,8,5,Bengaluru,Karnataka,NULL,-80.333,-98.195,17.862,0.30149,0.39607,0,0.30149,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
63,B001,"2026-01-10 08:00:00",470.000,585.000,11.500,8,6,Bengaluru,Karnataka,NULL,-90.138,-103.861,13.723,0.24207,0.39953,1,0.24207,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
64,B001,"2026-01-04 09:00:00",470.000,585.000,11.500,9,0,Bengaluru,Karnataka,NULL,-66.804,-100.782,33.978,0.49960,0.44215,0,0.49960,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
65,B001,"2026-01-05 09:00:00",470.000,585.000,11.500,9,1,Bengaluru,Karnataka,NULL,-78.747,-101.231,22.484,0.47342,0.61302,0,0.47342,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
66,B001,"2026-01-06 09:00:00",470.000,585.000,11.500,9,2,Bengaluru,Karnataka,NULL,-81.563,-105.499,23.935,0.53546,0.50232,0,0.53546,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
67,B001,"2026-01-07 09:00:00",470.000,585.000,11.500,9,3,Bengaluru,Karnataka,NULL,-88.623,-105.371,16.748,0.48482,0.28263,0,0.48482,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
68,B001,"2026-01-08 09:00:00",470.000,585.000,11.500,9,4,Bengaluru,Karnataka,NULL,-79.622,-102.258,22.636,0.42502,0.33469,0,0.42502,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
69,B001,"2026-01-09 09:00:00",470.000,585.000,11.500,9,5,Bengaluru,Karnataka,NULL,-88.332,-107.058,18.725,0.30430,0.34740,0,0.30430,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
70,B001,"2026-01-10 09:00:00",470.000,585.000,11.500,9,6,Bengaluru,Karnataka,NULL,-77.891,-100.023,22.132,0.45951,0.52662,0,0.45951,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
71,B001,"2026-01-04 10:00:00",470.000,585.000,11.500,10,0,Bengaluru,Karnataka,NULL,-83.759,-103.652,19.893,0.42045,0.34651,0,0.42045,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
72,B001,"2026-01-05 10:00:00",470.000,585.000,11.500,10,1,Bengaluru,Karnataka,NULL,-83.951,-101.609,17.658,0.27840,0.27198,0,0.27840,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
73,B001,"2026-01-06 10:00:00",470.000,585.000,11.500,10,2,Bengaluru,Karnataka,NULL,-75.759,-101.070,25.312,0.38003,0.37008,0,0.38003,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
74,B001,"2026-01-07 10:00:00",470.000,585.000,11.500,10,3,Bengaluru,Karnataka,NULL,-83.065,-103.479,20.414,0.39447,0.27522,0,0.39447,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
75,B001,"2026-01-08 10:00:00",470.000,585.000,11.500,10,4,Bengaluru,Karnataka,NULL,-74.834,-101.847,27.013,0.42123,0.46928,0,0.42123,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
76,B001,"2026-01-09 10:00:00",470.000,585.000,11.500,10,5,Bengaluru,Karnataka,NULL,-78.976,-103.782,24.806,0.46238,0.32940,0,0.46238,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
77,B001,"2026-01-10 10:00:00",470.000,585.000,11.500,10,6,Bengaluru,Karnataka,NULL,-82.074,-100.953,18.880,0.41184,0.54764,0,0.41184,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
78,B001,"2026-01-04 11:00:00",470.000,585.000,11.500,11,0,Bengaluru,Karnataka,NULL,-82.067,-106.757,24.689,0.46972,0.39272,0,0.46972,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
79,B001,"2026-01-05 11:00:00",470.000,585.000,11.500,11,1,Bengaluru,Karnataka,NULL,-77.901,-100.836,22.935,0.43010,0.23643,0,0.43010,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
80,B001,"2026-01-06 11:00:00",470.000,585.000,11.500,11,2,Bengaluru,Karnataka,NULL,-76.999,-100.068,23.069,0.34892,0.49905,0,0.34892,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
81,B001,"2026-01-07 11:00:00",470.000,585.000,11.500,11,3,Bengaluru,Karnataka,NULL,-79.031,-107.139,28.108,0.55622,0.32824,0,0.55622,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
82,B001,"2026-01-08 11:00:00",470.000,585.000,11.500,11,4,Bengaluru,Karnataka,NULL,-79.416,-101.367,21.951,0.54295,0.63371,0,0.54295,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
83,B001,"2026-01-09 11:00:00",470.000,585.000,11.500,11,5,Bengaluru,Karnataka,NULL,-83.925,-106.728,22.803,0.43508,0.34431,0,0.43508,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
84,B001,"2026-01-10 11:00:00",470.000,585.000,11.500,11,6,Bengaluru,Karnataka,NULL,-78.313,-103.163,24.850,0.39779,0.26470,0,0.39779,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
85,B001,"2026-01-04 12:00:00",470.000,585.000,11.500,12,0,Bengaluru,Karnataka,NULL,-77.474,-97.465,19.990,0.45222,0.43079,0,0.45222,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
86,B001,"2026-01-05 12:00:00",470.000,585.000,11.500,12,1,Bengaluru,Karnataka,NULL,-79.568,-103.724,24.156,0.44414,0.41646,0,0.44414,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
87,B001,"2026-01-06 12:00:00",470.000,585.000,11.500,12,2,Bengaluru,Karnataka,NULL,-75.574,-97.595,22.021,0.36394,0.34319,0,0.36394,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
88,B001,"2026-01-07 12:00:00",470.000,585.000,11.500,12,3,Bengaluru,Karnataka,NULL,-79.934,-103.961,24.027,0.38543,0.35881,0,0.38543,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
89,B001,"2026-01-08 12:00:00",470.000,585.000,11.500,12,4,Bengaluru,Karnataka,NULL,-77.823,-102.461,24.638,0.46216,0.41113,0,0.46216,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
90,B001,"2026-01-09 12:00:00",470.000,585.000,11.500,12,5,Bengaluru,Karnataka,NULL,-77.778,-102.458,24.680,0.44347,0.46205,0,0.44347,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
91,B001,"2026-01-10 12:00:00",470.000,585.000,11.500,12,6,Bengaluru,Karnataka,NULL,-86.751,-104.149,17.398,0.38184,0.30894,0,0.38184,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
92,B001,"2026-01-04 13:00:00",470.000,585.000,11.500,13,0,Bengaluru,Karnataka,NULL,-80.421,-99.836,19.415,0.36109,0.48031,0,0.36109,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
93,B001,"2026-01-05 13:00:00",470.000,585.000,11.500,13,1,Bengaluru,Karnataka,NULL,-79.718,-101.939,22.222,0.58955,0.47269,0,0.58955,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
94,B001,"2026-01-06 13:00:00",470.000,585.000,11.500,13,2,Bengaluru,Karnataka,NULL,-84.881,-105.721,20.840,0.42473,0.41903,0,0.42473,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
95,B001,"2026-01-07 13:00:00",470.000,585.000,11.500,13,3,Bengaluru,Karnataka,NULL,-85.466,-103.921,18.455,0.39784,0.52153,0,0.39784,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
96,B001,"2026-01-08 13:00:00",470.000,585.000,11.500,13,4,Bengaluru,Karnataka,NULL,-83.791,-104.075,20.284,0.41882,0.46858,0,0.41882,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
97,B001,"2026-01-09 13:00:00",470.000,585.000,11.500,13,5,Bengaluru,Karnataka,NULL,-79.665,-100.795,21.130,0.34207,0.40228,0,0.34207,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
98,B001,"2026-01-10 13:00:00",470.000,585.000,11.500,13,6,Bengaluru,Karnataka,NULL,-76.363,-103.376,27.014,0.48798,0.37376,0,0.48798,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
99,B001,"2026-01-04 14:00:00",470.000,585.000,11.500,14,0,Bengaluru,Karnataka,NULL,-75.671,-99.010,23.339,0.40224,0.38163,0,0.40224,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
100,B001,"2026-01-05 14:00:00",470.000,585.000,11.500,14,1,Bengaluru,Karnataka,NULL,-83.396,-100.596,17.200,0.34660,0.27138,0,0.34660,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
101,B001,"2026-01-06 14:00:00",470.000,585.000,11.500,14,2,Bengaluru,Karnataka,NULL,-87.439,-101.384,13.945,0.38463,0.39887,0,0.38463,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
102,B001,"2026-01-07 14:00:00",470.000,585.000,11.500,14,3,Bengaluru,Karnataka,NULL,-78.201,-103.461,25.260,0.44217,0.45633,0,0.44217,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
103,B001,"2026-01-08 14:00:00",470.000,585.000,11.500,14,4,Bengaluru,Karnataka,NULL,-81.188,-103.675,22.487,0.38756,0.25063,0,0.38756,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
104,B001,"2026-01-09 14:00:00",470.000,585.000,11.500,14,5,Bengaluru,Karnataka,NULL,-83.633,-103.578,19.945,0.36672,0.37526,0,0.36672,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
105,B001,"2026-01-10 14:00:00",470.000,585.000,11.500,14,6,Bengaluru,Karnataka,NULL,-77.916,-99.163,21.247,0.39258,0.34997,0,0.39258,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
106,B001,"2026-01-04 15:00:00",470.000,585.000,11.500,15,0,Bengaluru,Karnataka,NULL,-79.563,-100.195,20.632,0.34524,0.46047,0,0.34524,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
107,B001,"2026-01-05 15:00:00",470.000,585.000,11.500,15,1,Bengaluru,Karnataka,NULL,-82.024,-101.934,19.910,0.37768,0.35848,0,0.37768,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
108,B001,"2026-01-06 15:00:00",470.000,585.000,11.500,15,2,Bengaluru,Karnataka,NULL,-82.028,-106.286,24.258,0.43073,0.45223,0,0.43073,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
109,B001,"2026-01-07 15:00:00",470.000,585.000,11.500,15,3,Bengaluru,Karnataka,NULL,-73.041,-96.376,23.335,0.50913,0.44805,0,0.50913,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
110,B001,"2026-01-08 15:00:00",470.000,585.000,11.500,15,4,Bengaluru,Karnataka,NULL,-80.556,-97.145,16.588,0.43068,0.43881,0,0.43068,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
111,B001,"2026-01-09 15:00:00",470.000,585.000,11.500,15,5,Bengaluru,Karnataka,NULL,-97.331,-108.454,11.123,0.28704,0.19604,0,0.28704,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
112,B001,"2026-01-10 15:00:00",470.000,585.000,11.500,15,6,Bengaluru,Karnataka,NULL,-81.979,-104.171,22.192,0.46483,0.32906,0,0.46483,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
113,B001,"2026-01-04 16:00:00",470.000,585.000,11.500,16,0,Bengaluru,Karnataka,NULL,-77.673,-104.755,27.081,0.47277,0.34785,0,0.47277,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
114,B001,"2026-01-05 16:00:00",470.000,585.000,11.500,16,1,Bengaluru,Karnataka,NULL,-81.572,-101.693,20.121,0.37646,0.47868,0,0.37646,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
115,B001,"2026-01-06 16:00:00",470.000,585.000,11.500,16,2,Bengaluru,Karnataka,NULL,-84.671,-105.020,20.349,0.43843,0.35916,0,0.43843,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
116,B001,"2026-01-07 16:00:00",470.000,585.000,11.500,16,3,Bengaluru,Karnataka,NULL,-78.015,-101.041,23.026,0.48075,0.50206,0,0.48075,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
117,B001,"2026-01-08 16:00:00",470.000,585.000,11.500,16,4,Bengaluru,Karnataka,NULL,-81.222,-102.341,21.118,0.39301,0.49771,0,0.39301,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
118,B001,"2026-01-09 16:00:00",470.000,585.000,11.500,16,5,Bengaluru,Karnataka,NULL,-85.755,-102.877,17.122,0.38310,0.42390,0,0.38310,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
119,B001,"2026-01-10 16:00:00",470.000,585.000,11.500,16,6,Bengaluru,Karnataka,NULL,-87.682,-101.141,13.459,0.34886,0.43022,0,0.34886,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
120,B001,"2026-01-04 17:00:00",470.000,585.000,11.500,17,0,Bengaluru,Karnataka,NULL,-81.991,-103.943,21.952,0.33676,0.23214,0,0.33676,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
121,B001,"2026-01-05 17:00:00",470.000,585.000,11.500,17,1,Bengaluru,Karnataka,NULL,-83.228,-101.814,18.586,0.42444,0.50332,0,0.42444,"Synthetic dataset",synthetic,"2026-08-12 18:09:25"
