record_id,band_id,start_frequency_mhz,end_frequency_mhz,service_type,state,city,hour,day_of_week,bandwidth_mhz,signal_power_dbm,noise_floor_dbm,snr_db,occupancy_ratio,interference_score,assignment_status,occupancy_status,target_available,data_type
44,B001,470,585,IMT candidate,Karnataka,Bengaluru,6,1,11.5,-86.51,-101.251,14.742,0.18914,0.1943,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
45,B001,470,585,IMT candidate,Karnataka,Bengaluru,6,2,11.5,-83.595,-100.481,16.886,0.37098,0.40259,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
46,B001,470,585,IMT candidate,Karnataka,Bengaluru,6,3,11.5,-86.868,-105.708,18.84,0.29627,0.30896,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
47,B001,470,585,IMT candidate,Karnataka,Bengaluru,6,4,11.5,-82.978,-100.693,17.715,0.25783,0.24139,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
48,B001,470,585,IMT candidate,Karnataka,Bengaluru,6,5,11.5,-84.064,-99.462,15.399,0.29802,0.34419,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
49,B001,470,585,IMT candidate,Karnataka,Bengaluru,6,6,11.5,-85.276,-96.335,11.059,0.27019,0.35125,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
50,B001,470,585,IMT candidate,Karnataka,Bengaluru,7,0,11.5,-79.312,-102.25,22.939,0.28856,0.30688,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
51,B001,470,585,IMT candidate,Karnataka,Bengaluru,7,1,11.5,-79.114,-103.105,23.991,0.46687,0.3842,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
52,B001,470,585,IMT candidate,Karnataka,Bengaluru,7,2,11.5,-86.319,-101.844,15.525,0.26165,0.30627,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
53,B001,470,585,IMT candidate,Karnataka,Bengaluru,7,3,11.5,-84.29,-96.994,12.704,0.16265,0.36515,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
54,B001,470,585,IMT candidate,Karnataka,Bengaluru,7,4,11.5,-76.11,-101.269,25.159,0.2395,0.2061,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
55,B001,470,585,IMT candidate,Karnataka,Bengaluru,7,5,11.5,-88.658,-103.366,14.708,0.16533,0.28293,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
56,B001,470,585,IMT candidate,Karnataka,Bengaluru,7,6,11.5,-87.919,-102.643,14.724,0.36033,0.31941,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
57,B001,470,585,IMT candidate,Karnataka,Bengaluru,8,0,11.5,-86.009,-100.836,14.827,0.39682,0.37513,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
58,B001,470,585,IMT candidate,Karnataka,Bengaluru,8,1,11.5,-73.947,-96.684,22.737,0.40787,0.40986,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
59,B001,470,585,IMT candidate,Karnataka,Bengaluru,8,2,11.5,-88.825,-104.108,15.283,0.22319,0.30533,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
60,B001,470,585,IMT candidate,Karnataka,Bengaluru,8,3,11.5,-87.432,-103.196,15.764,0.35061,0.28568,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
61,B001,470,585,IMT candidate,Karnataka,Bengaluru,8,4,11.5,-92.0,-100.391,8.392,0.22901,0.2422,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
62,B001,470,585,IMT candidate,Karnataka,Bengaluru,8,5,11.5,-80.333,-98.195,17.862,0.30149,0.39607,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
63,B001,470,585,IMT candidate,Karnataka,Bengaluru,8,6,11.5,-90.138,-103.861,13.723,0.24207,0.39953,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
64,B001,470,585,IMT candidate,Karnataka,Bengaluru,9,0,11.5,-66.804,-100.782,33.978,0.4996,0.44215,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
65,B001,470,585,IMT candidate,Karnataka,Bengaluru,9,1,11.5,-78.747,-101.231,22.484,0.47342,0.61302,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
66,B001,470,585,IMT candidate,Karnataka,Bengaluru,9,2,11.5,-81.563,-105.499,23.935,0.53546,0.50232,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
67,B001,470,585,IMT candidate,Karnataka,Bengaluru,9,3,11.5,-88.623,-105.371,16.748,0.48482,0.28263,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
68,B001,470,585,IMT candidate,Karnataka,Bengaluru,9,4,11.5,-79.622,-102.258,22.636,0.42502,0.33469,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
69,B001,470,585,IMT candidate,Karnataka,Bengaluru,9,5,11.5,-88.332,-107.058,18.725,0.3043,0.3474,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
70,B001,470,585,IMT candidate,Karnataka,Bengaluru,9,6,11.5,-77.891,-100.023,22.132,0.45951,0.52662,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
71,B001,470,585,IMT candidate,Karnataka,Bengaluru,10,0,11.5,-83.759,-103.652,19.893,0.42045,0.34651,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
72,B001,470,585,IMT candidate,Karnataka,Bengaluru,10,1,11.5,-83.951,-101.609,17.658,0.2784,0.27198,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
73,B001,470,585,IMT candidate,Karnataka,Bengaluru,10,2,11.5,-75.759,-101.07,25.312,0.38003,0.37008,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
74,B001,470,585,IMT candidate,Karnataka,Bengaluru,10,3,11.5,-83.065,-103.479,20.414,0.39447,0.27522,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
75,B001,470,585,IMT candidate,Karnataka,Bengaluru,10,4,11.5,-74.834,-101.847,27.013,0.42123,0.46928,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
76,B001,470,585,IMT candidate,Karnataka,Bengaluru,10,5,11.5,-78.976,-103.782,24.806,0.46238,0.3294,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
77,B001,470,585,IMT candidate,Karnataka,Bengaluru,10,6,11.5,-82.074,-100.953,18.88,0.41184,0.54764,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
78,B001,470,585,IMT candidate,Karnataka,Bengaluru,11,0,11.5,-82.067,-106.757,24.689,0.46972,0.39272,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
79,B001,470,585,IMT candidate,Karnataka,Bengaluru,11,1,11.5,-77.901,-100.836,22.935,0.4301,0.23643,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
80,B001,470,585,IMT candidate,Karnataka,Bengaluru,11,2,11.5,-76.999,-100.068,23.069,0.34892,0.49905,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
81,B001,470,585,IMT candidate,Karnataka,Bengaluru,11,3,11.5,-79.031,-107.139,28.108,0.55622,0.32824,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
82,B001,470,585,IMT candidate,Karnataka,Bengaluru,11,4,11.5,-79.416,-101.367,21.951,0.54295,0.63371,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
83,B001,470,585,IMT candidate,Karnataka,Bengaluru,11,5,11.5,-83.925,-106.728,22.803,0.43508,0.34431,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
84,B001,470,585,IMT candidate,Karnataka,Bengaluru,11,6,11.5,-78.313,-103.163,24.85,0.39779,0.2647,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
85,B001,470,585,IMT candidate,Karnataka,Bengaluru,12,0,11.5,-77.474,-97.465,19.99,0.45222,0.43079,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
86,B001,470,585,IMT candidate,Karnataka,Bengaluru,12,1,11.5,-79.568,-103.724,24.156,0.44414,0.41646,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
87,B001,470,585,IMT candidate,Karnataka,Bengaluru,12,2,11.5,-75.574,-97.595,22.021,0.36394,0.34319,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
88,B001,470,585,IMT candidate,Karnataka,Bengaluru,12,3,11.5,-79.934,-103.961,24.027,0.38543,0.35881,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
89,B001,470,585,IMT candidate,Karnataka,Bengaluru,12,4,11.5,-77.823,-102.461,24.638,0.46216,0.41113,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
90,B001,470,585,IMT candidate,Karnataka,Bengaluru,12,5,11.5,-77.778,-102.458,24.68,0.44347,0.46205,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
91,B001,470,585,IMT candidate,Karnataka,Bengaluru,12,6,11.5,-86.751,-104.149,17.398,0.38184,0.30894,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
92,B001,470,585,IMT candidate,Karnataka,Bengaluru,13,0,11.5,-80.421,-99.836,19.415,0.36109,0.48031,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
93,B001,470,585,IMT candidate,Karnataka,Bengaluru,13,1,11.5,-79.718,-101.939,22.222,0.58955,0.47269,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
94,B001,470,585,IMT candidate,Karnataka,Bengaluru,13,2,11.5,-84.881,-105.721,20.84,0.42473,0.41903,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
95,B001,470,585,IMT candidate,Karnataka,Bengaluru,13,3,11.5,-85.466,-103.921,18.455,0.39784,0.52153,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
96,B001,470,585,IMT candidate,Karnataka,Bengaluru,13,4,11.5,-83.791,-104.075,20.284,0.41882,0.46858,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
97,B001,470,585,IMT candidate,Karnataka,Bengaluru,13,5,11.5,-79.665,-100.795,21.13,0.34207,0.40228,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
98,B001,470,585,IMT candidate,Karnataka,Bengaluru,13,6,11.5,-76.363,-103.376,27.014,0.48798,0.37376,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
99,B001,470,585,IMT candidate,Karnataka,Bengaluru,14,0,11.5,-75.671,-99.01,23.339,0.40224,0.38163,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
100,B001,470,585,IMT candidate,Karnataka,Bengaluru,14,1,11.5,-83.396,-100.596,17.2,0.3466,0.27138,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
101,B001,470,585,IMT candidate,Karnataka,Bengaluru,14,2,11.5,-87.439,-101.384,13.945,0.38463,0.39887,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
102,B001,470,585,IMT candidate,Karnataka,Bengaluru,14,3,11.5,-78.201,-103.461,25.26,0.44217,0.45633,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
103,B001,470,585,IMT candidate,Karnataka,Bengaluru,14,4,11.5,-81.188,-103.675,22.487,0.38756,0.25063,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
104,B001,470,585,IMT candidate,Karnataka,Bengaluru,14,5,11.5,-83.633,-103.578,19.945,0.36672,0.37526,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
105,B001,470,585,IMT candidate,Karnataka,Bengaluru,14,6,11.5,-77.916,-99.163,21.247,0.39258,0.34997,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
106,B001,470,585,IMT candidate,Karnataka,Bengaluru,15,0,11.5,-79.563,-100.195,20.632,0.34524,0.46047,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
107,B001,470,585,IMT candidate,Karnataka,Bengaluru,15,1,11.5,-82.024,-101.934,19.91,0.37768,0.35848,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
108,B001,470,585,IMT candidate,Karnataka,Bengaluru,15,2,11.5,-82.028,-106.286,24.258,0.43073,0.45223,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
109,B001,470,585,IMT candidate,Karnataka,Bengaluru,15,3,11.5,-73.041,-96.376,23.335,0.50913,0.44805,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
110,B001,470,585,IMT candidate,Karnataka,Bengaluru,15,4,11.5,-80.556,-97.145,16.588,0.43068,0.43881,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
111,B001,470,585,IMT candidate,Karnataka,Bengaluru,15,5,11.5,-97.331,-108.454,11.123,0.28704,0.19604,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
112,B001,470,585,IMT candidate,Karnataka,Bengaluru,15,6,11.5,-81.979,-104.171,22.192,0.46483,0.32906,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
113,B001,470,585,IMT candidate,Karnataka,Bengaluru,16,0,11.5,-77.673,-104.755,27.081,0.47277,0.34785,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
114,B001,470,585,IMT candidate,Karnataka,Bengaluru,16,1,11.5,-81.572,-101.693,20.121,0.37646,0.47868,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
115,B001,470,585,IMT candidate,Karnataka,Bengaluru,16,2,11.5,-84.671,-105.02,20.349,0.43843,0.35916,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
116,B001,470,585,IMT candidate,Karnataka,Bengaluru,16,3,11.5,-78.015,-101.041,23.026,0.48075,0.50206,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
117,B001,470,585,IMT candidate,Karnataka,Bengaluru,16,4,11.5,-81.222,-102.341,21.118,0.39301,0.49771,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
118,B001,470,585,IMT candidate,Karnataka,Bengaluru,16,5,11.5,-85.755,-102.877,17.122,0.3831,0.4239,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
119,B001,470,585,IMT candidate,Karnataka,Bengaluru,16,6,11.5,-87.682,-101.141,13.459,0.34886,0.43022,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
120,B001,470,585,IMT candidate,Karnataka,Bengaluru,17,0,11.5,-81.991,-103.943,21.952,0.33676,0.23214,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
121,B001,470,585,IMT candidate,Karnataka,Bengaluru,17,1,11.5,-83.228,-101.814,18.586,0.42444,0.50332,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
122,B001,470,585,IMT candidate,Karnataka,Bengaluru,17,2,11.5,-86.159,-106.929,20.77,0.53491,0.53235,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
123,B001,470,585,IMT candidate,Karnataka,Bengaluru,17,3,11.5,-83.742,-102.972,19.23,0.33879,0.39556,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
124,B001,470,585,IMT candidate,Karnataka,Bengaluru,17,4,11.5,-82.832,-101.762,18.93,0.41437,0.49273,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
125,B001,470,585,IMT candidate,Karnataka,Bengaluru,17,5,11.5,-83.315,-101.151,17.836,0.35533,0.35947,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
126,B001,470,585,IMT candidate,Karnataka,Bengaluru,17,6,11.5,-85.344,-102.406,17.062,0.37823,0.42956,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
127,B001,470,585,IMT candidate,Karnataka,Bengaluru,18,0,11.5,-74.268,-101.392,27.124,0.52898,0.53088,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
128,B001,470,585,IMT candidate,Karnataka,Bengaluru,18,1,11.5,-76.766,-101.242,24.475,0.49496,0.51084,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
129,B001,470,585,IMT candidate,Karnataka,Bengaluru,18,2,11.5,-82.449,-104.435,21.986,0.43482,0.25156,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
