record_id,band_id,state,city,start_frequency_mhz,end_frequency_mhz,required_bandwidth_mhz,service_type,assignment_status,occupancy_status,availability_label,data_type
21,B018,Telangana,Hyderabad,39436.991,39437.991,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
22,B009,Tamil Nadu,Chennai,2328.794,2338.794,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
23,B012,West Bengal,Kolkata,3400.996,3440.996,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
24,B010,Telangana,Hyderabad,2552.328,2557.328,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
25,B015,Maharashtra,Mumbai,6721.745,6741.745,20,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
26,B020,Telangana,Hyderabad,70583.428,70623.428,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
27,B008,Telangana,Hyderabad,2173.774,2174.774,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
28,B023,Rajasthan,Jaipur,5266.531,5346.531,80,WAS/RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
29,B010,Telangana,Hyderabad,2537.86,2617.86,80,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
30,B007,West Bengal,Kolkata,1851.775,1891.775,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
31,B012,Karnataka,Bengaluru,3418.264,3438.264,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
32,B018,Gujarat,Ahmedabad,39523.752,39533.752,10,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
33,B020,Telangana,Hyderabad,69338.353,69348.353,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
34,B018,Telangana,Hyderabad,39014.959,39034.959,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
35,B001,Tamil Nadu,Chennai,511.287,521.287,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
36,B003,Rajasthan,Jaipur,748.388,749.388,1,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
37,B014,Rajasthan,Jaipur,3623.351,3643.351,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
38,B010,Delhi,New Delhi,2561.277,2566.277,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
39,B008,Tamil Nadu,Chennai,2146.715,2156.715,10,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
40,B012,Tamil Nadu,Chennai,3442.198,3482.198,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
41,B017,Gujarat,Ahmedabad,27225.033,27235.033,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
42,B019,Delhi,New Delhi,43089.609,43090.609,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
43,B003,Telangana,Hyderabad,678.762,679.762,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
44,B018,Tamil Nadu,Chennai,39681.42,39701.42,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
45,B020,Karnataka,Bengaluru,69022.914,69102.914,80,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
46,B001,West Bengal,Kolkata,556.84,576.84,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
47,B011,Rajasthan,Jaipur,3321.019,3361.019,40,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
48,B015,Maharashtra,Mumbai,6731.992,6741.992,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
49,B020,Tamil Nadu,Chennai,67639.32,67719.32,80,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
50,B018,West Bengal,Kolkata,38585.796,38590.796,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
51,B006,Rajasthan,Jaipur,1431.901,1511.901,80,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
52,B005,Maharashtra,Mumbai,945.726,955.726,10,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
53,B019,Maharashtra,Mumbai,43059.04,43060.04,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
54,B018,Rajasthan,Jaipur,38492.749,38572.749,80,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
55,B015,Karnataka,Bengaluru,6618.794,6658.794,40,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
56,B023,Gujarat,Ahmedabad,5295.228,5300.228,5,WAS/RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
57,B004,Gujarat,Ahmedabad,901.714,941.714,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
58,B011,Telangana,Hyderabad,3384.018,3394.018,10,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
59,B013,Karnataka,Bengaluru,3543.295,3563.295,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
60,B024,Tamil Nadu,Chennai,5548.663,5628.663,80,WAS/RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
61,B002,Gujarat,Ahmedabad,585.0,610.0,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
62,B004,Gujarat,Ahmedabad,891.257,931.257,40,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
63,B007,Rajasthan,Jaipur,1825.566,1830.566,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
64,B019,Delhi,New Delhi,42689.456,42694.456,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
65,B007,West Bengal,Kolkata,1874.47,1875.47,1,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
66,B003,Gujarat,Ahmedabad,701.316,721.316,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
67,B014,Rajasthan,Jaipur,3619.868,3620.868,1,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
68,B013,Karnataka,Bengaluru,3513.507,3523.507,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
69,B018,Delhi,New Delhi,39796.502,39797.502,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
70,B002,Karnataka,Bengaluru,585.0,610.0,80,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
71,B002,Telangana,Hyderabad,593.046,598.046,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
72,B008,Delhi,New Delhi,2121.253,2126.253,5,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
73,B001,Rajasthan,Jaipur,514.199,554.199,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
74,B001,Rajasthan,Jaipur,512.985,522.985,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
75,B013,Tamil Nadu,Chennai,3527.601,3532.601,5,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
76,B020,Karnataka,Bengaluru,70490.492,70530.492,40,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
77,B011,Rajasthan,Jaipur,3319.377,3339.377,20,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
78,B001,Telangana,Hyderabad,555.027,560.027,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
79,B014,Gujarat,Ahmedabad,3607.454,3627.454,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
80,B021,Telangana,Hyderabad,2402.434,2482.434,80,Low Power / RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
81,B004,Delhi,New Delhi,900.855,910.855,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
82,B006,Gujarat,Ahmedabad,1506.683,1516.683,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
83,B011,Gujarat,Ahmedabad,3356.804,3361.804,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
84,B015,Gujarat,Ahmedabad,6703.009,6708.009,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
85,B013,West Bengal,Kolkata,3543.239,3548.239,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
86,B011,Maharashtra,Mumbai,3375.292,3376.292,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
87,B012,West Bengal,Kolkata,3456.333,3496.333,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
88,B002,Delhi,New Delhi,598.206,603.206,5,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
89,B022,Rajasthan,Jaipur,5201.818,5211.818,10,WAS/RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
90,B005,Rajasthan,Jaipur,942.0,960.0,80,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
91,B003,Delhi,New Delhi,825.429,845.429,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
92,B008,West Bengal,Kolkata,2178.114,2198.114,20,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
93,B012,Maharashtra,Mumbai,3444.68,3449.68,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
94,B013,Karnataka,Bengaluru,3527.933,3528.933,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
95,B015,Telangana,Hyderabad,6839.185,6844.185,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
96,B005,Telangana,Hyderabad,942.0,960.0,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
97,B017,Maharashtra,Mumbai,24454.211,24459.211,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
98,B004,Karnataka,Bengaluru,890.521,895.521,5,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
99,B011,Telangana,Hyderabad,3362.725,3367.725,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
100,B012,Tamil Nadu,Chennai,3479.675,3480.675,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
101,B013,Tamil Nadu,Chennai,3502.048,3503.048,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
102,B017,West Bengal,Kolkata,25504.024,25524.024,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
103,B013,Telangana,Hyderabad,3500.65,3505.65,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
104,B021,Maharashtra,Mumbai,2427.064,2437.064,10,Low Power / RLAN,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
105,B017,Telangana,Hyderabad,25044.541,25045.541,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
106,B004,Karnataka,Bengaluru,915.439,920.439,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
107,B012,Maharashtra,Mumbai,3411.363,3491.363,80,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
108,B024,Tamil Nadu,Chennai,5651.208,5656.208,5,WAS/RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
109,B022,Karnataka,Bengaluru,5207.44,5247.44,40,WAS/RLAN,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
110,B024,Telangana,Hyderabad,5678.518,5683.518,5,WAS/RLAN,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
111,B020,Gujarat,Ahmedabad,67990.796,68070.796,80,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
112,B015,Karnataka,Bengaluru,6609.117,6610.117,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
113,B021,Telangana,Hyderabad,2457.853,2458.853,1,Low Power / RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
114,B004,West Bengal,Kolkata,890.0,942.0,80,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
115,B020,West Bengal,Kolkata,66000.392,66005.392,5,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
116,B023,Telangana,Hyderabad,5326.189,5346.189,20,WAS/RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
117,B021,Rajasthan,Jaipur,2437.016,2457.016,20,Low Power / RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
118,B011,Tamil Nadu,Chennai,3381.482,3391.482,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
119,B010,West Bengal,Kolkata,2568.614,2648.614,80,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
120,B014,Delhi,New Delhi,3654.29,3664.29,10,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
121,B015,Gujarat,Ahmedabad,6611.25,6621.25,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
122,B013,West Bengal,Kolkata,3525.157,3526.157,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
123,B009,Tamil Nadu,Chennai,2372.499,2373.499,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
124,B017,Gujarat,Ahmedabad,24645.334,24685.334,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
125,B019,West Bengal,Kolkata,43229.386,43309.386,80,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
126,B006,Delhi,New Delhi,1455.256,1475.256,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
127,B011,Tamil Nadu,Chennai,3357.652,3362.652,5,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
128,B018,Gujarat,Ahmedabad,37187.487,37267.487,80,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
129,B010,Karnataka,Bengaluru,2631.495,2651.495,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
130,B013,West Bengal,Kolkata,3528.43,3538.43,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
131,B013,West Bengal,Kolkata,3559.368,3564.368,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
132,B002,Rajasthan,Jaipur,585.0,610.0,40,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
133,B010,Rajasthan,Jaipur,2578.477,2598.477,20,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
134,B023,Karnataka,Bengaluru,5322.939,5323.939,1,WAS/RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
135,B019,Maharashtra,Mumbai,43098.07,43118.07,20,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
136,B021,Delhi,New Delhi,2433.412,2473.412,40,Low Power / RLAN,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
137,B013,Maharashtra,Mumbai,3507.364,3587.364,80,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
138,B007,Gujarat,Ahmedabad,1724.496,1744.496,20,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
139,B025,Delhi,New Delhi,5858.858,5863.858,5,WAS/RLAN,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
140,B018,Delhi,New Delhi,37563.459,37603.459,40,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
141,B015,Rajasthan,Jaipur,6730.131,6731.131,1,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
142,B018,Gujarat,Ahmedabad,39158.738,39238.738,80,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
143,B022,Telangana,Hyderabad,5181.823,5186.823,5,WAS/RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
144,B021,Gujarat,Ahmedabad,2442.92,2482.92,40,Low Power / RLAN,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
145,B025,Telangana,Hyderabad,5833.638,5834.638,1,WAS/RLAN,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
146,B021,Gujarat,Ahmedabad,2470.593,2480.593,10,Low Power / RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
147,B015,Tamil Nadu,Chennai,7012.17,7017.17,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
148,B001,Gujarat,Ahmedabad,542.416,582.416,40,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
149,B008,Telangana,Hyderabad,2172.796,2177.796,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
150,B013,Delhi,New Delhi,3519.248,3599.248,80,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
151,B020,West Bengal,Kolkata,66339.893,66419.893,80,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
152,B012,Gujarat,Ahmedabad,3443.792,3453.792,10,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
153,B008,West Bengal,Kolkata,2167.836,2177.836,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
154,B013,Tamil Nadu,Chennai,3523.725,3533.725,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
155,B015,Rajasthan,Jaipur,6507.439,6512.439,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
156,B023,Karnataka,Bengaluru,5325.724,5345.724,20,WAS/RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
157,B025,Gujarat,Ahmedabad,5762.818,5767.818,5,WAS/RLAN,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
158,B002,Tamil Nadu,Chennai,587.648,597.648,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
159,B009,Delhi,New Delhi,2316.801,2356.801,40,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
160,B004,Tamil Nadu,Chennai,934.478,939.478,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
161,B012,West Bengal,Kolkata,3488.304,3493.304,5,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
162,B022,Telangana,Hyderabad,5221.421,5241.421,20,WAS/RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
163,B003,West Bengal,Kolkata,764.925,784.925,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
164,B006,Rajasthan,Jaipur,1427.629,1507.629,80,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
165,B005,Telangana,Hyderabad,942.0,960.0,20,IMT candidate,synthetic_not_verified,synthetic_observation,1,SYNTHETIC_FOR_PIPELINE_TESTING
166,B008,Telangana,Hyderabad,2114.704,2124.704,10,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
167,B008,Karnataka,Bengaluru,2171.712,2191.712,20,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
168,B021,Rajasthan,Jaipur,2457.394,2462.394,5,Low Power / RLAN,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
169,B020,Maharashtra,Mumbai,67651.664,67731.664,80,IMT candidate,synthetic_not_verified,synthetic_observation,0,SYNTHETIC_FOR_PIPELINE_TESTING
